Jurisdicción;CUE Anexo;Nombre;Sector;Ámbito;Domicilio;CP;Código de área;Teléfono;Código localidad;Localidad;Departamento;Mail;Ed. Común;Ed. Especial;Ed. Adultos;Ed. Artística;Ed. Hospitalaria Domiciliaria;Ed. Intercultural Bilingüe;Jardín maternal;Inicial;Primaria;Secundaria;Secundaria Técnica (INET);Superior no Universitario;Servicios complementarios
Buenos Aires;60000100;JARDÍN DE INFANTES Nº915 JAVIER VILLAFAÑE;Estatal;Urbano;TIRO FEDERAL 712  ;7300;02281;426487;6049005;AZUL;AZUL;jardin905azul@gmail.com; ji007915@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60000200;ESCUELA DE EDUCACIÓN PRIMARIA Nº2 DOMINGO FAUSTINO SARMIENTO;Estatal;Urbano;COLON Y MITRE 498  epnrozazul@yahoo.com.ar;7300;02281;42-3361;6049005;AZUL;AZUL;epnro2azul@yahoo.com.ar; pp007002@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60000300;INSTITUTO PEDRO B. PALACIOS;Privado;Urbano;VICTOR MARTINEZ Y OSVALDO SOSA 1946  ;1757;011;4457-0054;6427006;GREGORIO DE LAFERRERE;LA MATANZA;info@ipbp.com.ar; dpp0691219@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60000400;INSTITUTO JUANA DE IBARBOUROU;Privado;Urbano;AV. ROJO 4415  ;1757;011;4626-1051;6427006;GREGORIO DE LAFERRERE;LA MATANZA;jdeibarbourou@yahoo.com.ar; dpp0692351@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60000600;ESCUELA DE TEATRO DE MORON;Estatal;Urbano;SAN MARTIN 620  ;1708;011;4629-3097;6568004;MORON;MORON;secre_etm@yahoo.com.ar; oat1000001@abc.gov.ar;Verdadero;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60000700;INSTITUTO SAN JOSÉ;Privado;Urbano;SAN MARTÍN 319  ;1708;011;4629-0419;6568004;MORON;MORON;egb@maristamoron.org.ar; dpp1000750@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60000900;PEDRO BONIFACIO PALACIOS ALMAFUERTE;Privado;Urbano;BLANCO ESCALADA 1846  ;1712;011;4628-2200;6568001;CASTELAR;MORON;almaduende@speedy.com.ae; dpp1003756@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60001000;COLEGIO CREAR Y SER;Privado;Urbano;BAHIA BLANCA 2057  ;1712;011;4627-7009;6568001;CASTELAR;MORON;crearserprimaria@hotmail.com; dpp1002960@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60001200;COLEGIO SAN JOSÉ DE CALASANZ;Privado;Urbano;JUANA DE AZURDUY 201  ;1688;011;4459-1360;6408001;CIUDAD VILLA SANTOS TESEI;HURLINGHAM;calasanzunesc@ciudad.com.ar; secundaria@sjdecalasanz; dmm1354789@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60001300;ESCUELA DE EDUCACIÓN PRIMARIA Nº10 SIR ALEXANDER FLEMING;Estatal;Urbano;RODRIGUEZ (E/CARBAJAL Y MASSONET) 2022  ;1686;011;4459-6351;6408002;HURLINGHAM;HURLINGHAM;0135pp0010@gmail.com; pp135010@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60001400;JARDÍN DE INFANTES Nº907 MAESTRAS ARGENTINAS;Estatal;Urbano;DIEGO DE CARBAJAL ESQ. MIRANDA 892  PARQUE QUIRNO;1686;011;4452-4999;6408002;HURLINGHAM;HURLINGHAM;0135ji0907@gmail.com; ji135907@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60001500;ESCUELA DE EDUCACIÓN PRIMARIA Nº22 MARTÍN FIERRO;Estatal;Urbano;OCAMPO (E/ ROMA Y BELGICA) 1965  PARQUE QUIRNO;1686;011;4665-3168;6408002;HURLINGHAM;HURLINGHAM;0135pp0022@gmail.com.ar; opp1350022@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60001600;ESCUELA DE EDUCACIÓN PRIMARIA Nº21 ROSARIO VERA PEÑALOZA;Estatal;Urbano;ONTIVEROS (E/NIGTHINGALE Y CARUE) 823  EL PROGRESO;1688;011;4459-7363;6408001;CIUDAD VILLA SANTOS TESEI;HURLINGHAM;0135pp0021@gmail.com; pp135021@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60001700;ESCUELA DE EDUCACIÓN PRIMARIA Nº13 DR. TOMAS LE BRETON;Estatal;Urbano;BONORINO 501  ;1688;011;4450-5347;6408001;CIUDAD VILLA SANTOS TESEI;HURLINGHAM;0135pp0013@gmail.com; pp135013@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60001800;JARDÍN DE INFANTES Nº911 HEBE SAN MARTÍN DE DUPRAT;Estatal;Urbano;BONORINO (E/ BELL VILLE Y THOMAS LEBRETON) 501  ;1688;011;4450-7898;6408001;CIUDAD VILLA SANTOS TESEI;HURLINGHAM;0135ji0911@gmail.com; ji135911@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60001900;CENTRO DE ADULTOS Nº705 AVIADOR PABLO TEODORO FELS;Estatal;Urbano;NIGHTINGALEN Y GUAYRA   ;1688;011;4450-3312;6408001;CIUDAD VILLA SANTOS TESEI;HURLINGHAM;odc1350705@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002000;ESCUELA DE EDUCACIÓN PRIMARIA Nº25 SUBTE. AVIADOR PABLO TEODORO FELS;Estatal;Urbano;MAR DEL PLATA E/ ALCANTARA Y LEHBENSON 897  BARRIO MITRE;1688;011;4450-0207;6408001;CIUDAD VILLA SANTOS TESEI;HURLINGHAM;0135pp0025@gmai.com; pp135025@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60002100;ESCUELA DE ADULTOS Nº701 JORGE NEWBERY;Estatal;Urbano;LEVALLE Y DOLORES DE HUICI   WILLIAM C. MORRIS;1686;011;4665-3260;6408002;HURLINGHAM;HURLINGHAM;adu135701@yahoo.com; de135701@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002101;CENTRO DE ADULTOS Nº707/01;Estatal;Urbano;BUSTAMANTE y GURRUCHAGA S/N  BARRIO CARTERO;1686;011;4665-3260;6408002;HURLINGHAM;HURLINGHAM;adu135701@yahoo.com; dc135707@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
